uri	name	type	synonyms	definition	resource	wikipedia
https://www.wikidata.org/wiki/Q3407707	prosoma width	length/width	prosomal width	A tagma of various arthropods comprising the head and the thorax fused together	Wikiworld	https://en.wikipedia.org/wiki/Cephalothorax
https://www.wikidata.org/wiki/Q123439	prothorax width	length/width	prothoracic width	The foremost of the three segments in the thorax of an insect	Wikiworld	https://en.wikipedia.org/wiki/Prothorax
https://www.wikidata.org/wiki/Q1048843	pterostigma width	length/width	pterostigmata width, pterostigmal width	A group of specialized cells in the outer wings of insects	Wikiworld	https://en.wikipedia.org/wiki/Pterostigma
https://en.wiktionary.org/wiki/ramus	ramus width	length/width	ramal width, rami width	External branch of limbs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q2233438	rostrum width	length/width	rostral width, rostra width	The forward extension of the carapace in front of the eyes	Wikiworld	https://en.wikipedia.org/wiki/Rostrum_(anatomy)
https://www.wikidata.org/wiki/Q2094206	scutellum width	length/width	scutellar width, scutella width	Posterior portion of mesonotum of an insect thorax	Wikiworld	https://en.wikipedia.org/wiki/Scutellum_(insect_anatomy)
https://www.wikidata.org/wiki/Q1777684	sternum width	length/width	sternal width, sterna width	The ventral portion of a segment of an arthropod thorax or abdomen	Wikiworld	https://en.wikipedia.org/wiki/Sternum_(arthropod_anatomy)
https://www.wikidata.org/wiki/Q476820	tarsus width	length/width	tarsal width, tarsi width	Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Tarsus
https://www.wikidata.org/wiki/Q952557	telson width	length/width	telsonal width, telsonic width	The posterior-most division of the body of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Telson
https://www.wikidata.org/wiki/Q652546	tergum width	length/width	tergal width, terga width	The dorsal portion of an arthropod segment other than the head	Wikiworld	https://en.wikipedia.org/wiki/Tergum
https://www.wikidata.org/wiki/Q942508	thorax width	length/width	thoracic width, thoraces width	The midsection of the insect body also called mesosoma or cephalothorax	Wikiworld	https://en.wikipedia.org/wiki/Thorax_(arthropod_anatomy)
https://www.wikidata.org/wiki/Q2035874	tibia width	length/width	tibiae width, tibial width	Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Tibia
https://en.wiktionary.org/wiki/trochanter	trochanter width	length/width		Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Trochanter
https://www.wikidata.org/wiki/Q161358	wing width	length/width		Complete wing	Wikiworld	https://en.wikipedia.org/wiki/Insect_wing
http://www.wikidata.org/entity/Q245097	wingspan width	length/width		distance from the tip of one limb such as an arm or wing to the tip of the paired limb, or analogically the same measure for airplane wings	Wikiworld	https://en.wikipedia.org/wiki/Wingspan
						
						
Body Parts (counts, 0=absent)						
http://purl.obolibrary.org/obo/BTO_0000074	antenna	count	antennae	Paired appendages used for sensing in arthropods	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Antenna_(biology)
http://purl.obolibrary.org/obo/IDOMAL_0002229	apposition eye	count	apposition eyes	A compound eye with no separation between the crystalline-cone layer and the retinula, each rhabdom receiving light only from its own corneal lens.	Malaria Ontology	https://en.wikipedia.org/wiki/Compound_eye#Apposition_eyes
http://purl.obolibrary.org/obo/BTO_0001701	carapace	count		A bony or chitinous case or shield covering the back or part of the back of an animal (as a turtle or crab).	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Carapace
http://purl.obolibrary.org/obo/AISM_0004165	cercus	count	cerci	Paired appendages on the rear-most segments of many arthropods	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM)	https://en.wikipedia.org/wiki/Cercus
http://purl.obolibrary.org/obo/UBERON_0000018	compound eye	count	compound eyes	A light sensing organ composed of multiple ommatidia, visual units consisting of a limited number of rhabdomeric photoreceptor cells, cornea-secreting epithelial cells, interommatidial pigment cells, and sometimes crystalline cone cells	UBERON	https://en.wikipedia.org/wiki/Compound_eye
http://purl.obolibrary.org/obo/BTO_0000378	elytron	count	elytra	A modified, hardened forewing of certain insect orders	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Elytron
http://purl.obolibrary.org/obo/UBERON_0000970	eye	count	eyes	Visual organ	UBERON	https://en.wikipedia.org/wiki/Arthropod_eye
http://purl.obolibrary.org/obo/BTO_0001604	eyestalk	count	eyestalks	A protrusion that extends an eye away from the body	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Eyestalk
http://purl.obolibrary.org/obo/UBERON_0002535	gill	count	gills	A respiratory organ found in many aquatic organisms that extracts dissolved oxygen from water	UBERON	https://en.wikipedia.org/wiki/Gill
http://purl.obolibrary.org/obo/TGMA_0000526	gonopod	count	gonopods	Specialized appendages of various arthropods used in reproduction or egg-laying	Mosquito gross anatomy ontology	https://en.wikipedia.org/wiki/Gonopod
http://purl.obolibrary.org/obo/UBERON_0000987	haltere	count	halteres	A pair of small club-shaped organs on the body of some flying insects	UBERON	https://en.wikipedia.org/wiki/Halteres
https://en.wiktionary.org/wiki/hemelytron	hemelytron	count	hemelytra, hemelytrum, hemielytra	An insect's forewing with both membranous and hardened portions	Wikiworld	https://en.wiktionary.org/wiki/hemelytron
