uri	name	type	synonyms	definition	resource	wikipedia
https://www.wikidata.org/wiki/Q602075	metasoma length	length/width	metasomal length	The posterior part of the body of arthropods whose body is composed of three parts	Wikiworld	https://en.wikipedia.org/wiki/Metasoma
https://www.wikidata.org/wiki/Q66516345	metatarsus length	length/width	metatarsal length, basitarsus length, metatarsi length	Sixth segment of chelicerate legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/midleg	midleg length	length/width	middle-leg length	Middle pair of insect legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/ocellus#English	ocellus length	length/width	ocelli length, ocellar length	A simple eye consisting of a single lens and a small number of sensory cells	Wikiworld	https://en.wiktionary.org/wiki/ocellus
https://en.wiktionary.org/wiki/opisthosoma	opisthosoma length	length/width	opisthosomal length	Posterior part of the body in some arthropods, behind the prosoma - cephalothorax	Wikiworld	https://en.wikipedia.org/wiki/Opisthosoma
https://www.wikidata.org/wiki/Q868460	ovipositor length	length/width	ovipositors length	A tube-like organ used by some animals, especially insects, for the laying of eggs	Wikiworld	https://en.wikipedia.org/wiki/Ovipositor
https://www.wikidata.org/wiki/Q7135191	paramere length	length/width	parameres length	Part of the external reproductive organs of male insects	Wikiworld	https://en.wikipedia.org/wiki/Paramere
https://en.wiktionary.org/wiki/patella	patella length	length/width	patellar length, patellae length	Fourth segment of chelicerate legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q932179	pedipalp length	length/width	palp length, palpi length	The second pair of appendages of chelicerates	Wikiworld	https://en.wikipedia.org/wiki/Pedipalp
https://www.wikidata.org/wiki/Q58	phallus length	length/width	phallic length, penis, penile length	Male reproductive organ	Wikiworld	https://en.wikipedia.org/wiki/Aedeagus
https://www.wikidata.org/wiki/Q899348	proboscis length	length/width	proboscises length, proboscides length	A tubular feeding and sucking organ	Wikiworld	https://en.wikipedia.org/wiki/Proboscis#Invertebrates
https://en.wiktionary.org/wiki/pronotum	pronotum length	length/width	pronotal length, pronota length	A prominent plate-like structure that covers all or part of the thorax of some insects	Wikiworld	https://en.wikipedia.org/wiki/Prothorax
https://www.wikidata.org/wiki/Q3133438	propodus length	length/width	propodal length	Sixth segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Dactylus
https://www.wikidata.org/wiki/Q3407707	prosoma length	length/width	prosomal length	A tagma of various arthropods comprising the head and the thorax fused together	Wikiworld	https://en.wikipedia.org/wiki/Cephalothorax
https://www.wikidata.org/wiki/Q123439	prothorax length	length/width	prothoracic length	The foremost of the three segments in the thorax of an insect	Wikiworld	https://en.wikipedia.org/wiki/Prothorax
https://www.wikidata.org/wiki/Q1048843	pterostigma length	length/width	pterostigmata length, pterostigmal length	A group of specialized cells in the outer wings of insects	Wikiworld	https://en.wikipedia.org/wiki/Pterostigma
https://en.wiktionary.org/wiki/ramus	ramus length	length/width	ramal length, rami length	External branch of limbs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q2233438	rostrum length	length/width	rostral length, rostra length	The forward extension of the carapace in front of the eyes	Wikiworld	https://en.wikipedia.org/wiki/Rostrum_(anatomy)
https://www.wikidata.org/wiki/Q2094206	scutellum length	length/width	scutellar length, scutella length	Posterior portion of mesonotum of an insect thorax	Wikiworld	https://en.wikipedia.org/wiki/Scutellum_(insect_anatomy)
https://www.wikidata.org/wiki/Q1777684	sternum length	length/width	sternal length, sterna length	The ventral portion of a segment of an arthropod thorax or abdomen	Wikiworld	https://en.wikipedia.org/wiki/Sternum_(arthropod_anatomy)
https://www.wikidata.org/wiki/Q476820	tarsus length	length/width	tarsal length, tarsi length	Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Tarsus
https://www.wikidata.org/wiki/Q952557	telson length	length/width	telsonal length, telsonic length	The posterior-most division of the body of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Telson
https://www.wikidata.org/wiki/Q652546	tergum length	length/width	tergal length, terga length	The dorsal portion of an arthropod segment other than the head	Wikiworld	https://en.wikipedia.org/wiki/Tergum
https://www.wikidata.org/wiki/Q942508	thorax length	length/width	thoracic length, thoraces length	The midsection of the insect body also called mesosoma or cephalothorax	Wikiworld	https://en.wikipedia.org/wiki/Thorax_(arthropod_anatomy)
https://www.wikidata.org/wiki/Q2035874	tibia length	length/width	tibiae length, tibial length	Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Tibia
https://en.wiktionary.org/wiki/trochanter	trochanter length	length/width		Segment of arthropod leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Trochanter
https://www.wikidata.org/wiki/Q161358	wing length	length/width		Complete wing	Wikiworld	https://en.wikipedia.org/wiki/Insect_wing
http://www.wikidata.org/entity/Q245097	wingspan length	length/width		distance from the tip of one limb such as an arm or wing to the tip of the paired limb, or analogically the same measure for airplane wings	Wikiworld	https://en.wikipedia.org/wiki/Wingspan

https://www.wikidata.org/wiki/Q34630	abdomen width	length/width	abdominal width	Posterior-most body segment of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Insect_morphology#Abdomen
https://en.wiktionary.org/wiki/aculeus	aculeus width	length/width	aculei width, aculeate width	Sting, stinger, of an insect	Wikiworld	https://www.wikidata.org/wiki/Q657076
https://www.wikidata.org/wiki/Q380510	aedeagus width	length/width	aedeagal width, aedeagi width	Male reproductive organ	Wikiworld	https://en.wikipedia.org/wiki/Aedeagus
https://www.wikidata.org/wiki/Q204664	antenna width	length/width	antennal width, antennae width	Paired appendages used for sensing in arthropods	Wikiworld	https://en.wikipedia.org/wiki/Antenna_(biology)
https://en.wikipedia.org/wiki/Arthropod_leg	basis width	length/width	basal width	Second segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/basitarsus	basitarsus width	length/width	basitarsal width	Sixth segment of arachnid legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q170494	body width	length/width		Main body excluding appendages	Wikiworld	https://en.wiktionary.org/wiki/body
https://www.wikidata.org/wiki/Q666115	carapace width	length/width	carapacial width	A dorsal (upper) section of the exoskeleton	Wikiworld	https://en.wikipedia.org/wiki/Carapace
https://en.wikipedia.org/wiki/Arthropod_leg	carpus width	length/width	carpal width	Fifth segment of crustacean legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q10994170	cephalon width	length/width	cephalic width	The head section of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Cephalon_(arthropod_head)
https://en.wiktionary.org/wiki/cephalosome	cephalosome width	length/width	cephalosomal width	The anterior region or head of insects and other arthropods	Wikiworld	https://en.wiktionary.org/wiki/cephalosome
https://www.wikidata.org/wiki/Q1137335	cephalothorax width	length/width	prosoma width, prosomal width	The arthropod head and the thorax tagma fused together	Wikiworld	https://en.wikipedia.org/wiki/Cephalothorax
https://www.wikidata.org/wiki/Q1054892	cercus width	length/width	cerci width, cersal width	Paired appendages on the rear-most segments of many arthropods	Wikiworld	https://en.wikipedia.org/wiki/Cercus
https://www.wikidata.org/wiki/Q1069045	chela width	length/width	chelae width, chelate width	Claw or pincer-like organ terminating certain limbs of some arthropods	Wikiworld	https://en.wikipedia.org/wiki/Chela_(organ)
https://www.wikidata.org/wiki/Q843142	chelicera width	length/width	chelicerae width, cheliceral width	The mouthparts (jaws) of the Chelicerata	Wikiworld	https://en.wikipedia.org/wiki/Chelicerae
https://www.wikidata.org/wiki/Q217605	claw width	length/width	claws width	Claw or pincer-like organ terminating certain limbs of some arthropods	Wikiworld	https://en.wikipedia.org/wiki/Chela_(organ)
https://www.wikidata.org/wiki/Q1103783	clypeus width	length/width	clypeal width, clypei width	One of the sclerites that make up the face of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Clypeus_(arthropod_anatomy)
https://en.wiktionary.org/wiki/coxa	coxa width	length/width	coxal width, coxae width	The proximal segment and functional base of the leg	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Coxa
https://www.wikidata.org/wiki/Q5207822	dactylus width	length/width	dactylar width, dactyli width	The tip region of the leg of some crustaceans	Wikiworld	https://en.wikipedia.org/wiki/Dactylus
https://en.wiktionary.org/wiki/dorsum	dorsum width	length/width	dorsal width, dorsa width	The dorsal (upper/back) part of an organism	Wikiworld	https://en.wikipedia.org/wiki/Anatomical_terms_of_location#Dorsal_and_ventral
https://www.wikidata.org/wiki/Q658398	elytron width	length/width	elytra width, elytral width	A modified, hardened forewing of certain insect orders	Wikiworld	https://en.wikipedia.org/wiki/Elytron
https://en.wiktionary.org/wiki/endopod	endopod width	length/width	endopodal width	Inner branch of the biramous crustacean limb	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/epipod	epipod width	length/width	epipodal width	A small projection arising from the thoracic legs of a crustacean	Wikiworld	https://en.wiktionary.org/wiki/epipod
https://en.wiktionary.org/wiki/exopod	exopod width	length/width	exopodal width	Outer branch of the biramous crustacean limb	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://www.wikidata.org/wiki/Q7364	eye width	length/width		Visual organ	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_eye
https://www.wikidata.org/wiki/Q4441421	eyestalk width	length/width	ommatophore width	A protrusion that extends an eye away from the body	Wikiworld	https://en.wikipedia.org/wiki/Eyestalk
https://www.wikidata.org/wiki/Q37017	face width	length/width	facial width	The front of an animal's head	Wikiworld	https://en.wikipedia.org/wiki/Face
https://www.wikidata.org/wiki/Q1940269	fang width	length/width		Chelicerae shaped as articulated fangs	Wikiworld	https://en.wikipedia.org/wiki/Chelicerae
https://www.wikidata.org/wiki/Q1404561	femur width	length/width	femoral width, femora width	Largest segment of most legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg#Femur
https://www.wikidata.org/wiki/Q58841533	flagellum width	length/width	flagellar width	Last segment of typical insect antenna	Wikiworld	https://en.wikipedia.org/wiki/Antenna_(biology)
https://en.wiktionary.org/wiki/forelimb#English	foreleg width	length/width	fore-leg width, forelimb width	First pair of legs	Wikiworld	https://en.wikipedia.org/wiki/Arthropod_leg
https://en.wiktionary.org/wiki/forewing	forewing width	length/width	fore-wing width	First pair of wings	Wikiworld	https://en.wikipedia.org/wiki/Insect_wing
https://www.wikidata.org/wiki/Q1434710	frons width	length/width		One of the sclerites that make up the face of an arthropod	Wikiworld	https://en.wikipedia.org/wiki/Insect_morphology#External
