uri	name	type	synonyms	definition_description	resource	wikipedia
https://www.wikidata.org/wiki/Q1417593	specialist	yes/no	restricted diet range, narrow diet range	a plant or animal species that can thrive only in a narrow range of environmental conditions or has a limited diet	WikiData	https://en.wikipedia.org/wiki/Generalist_and_specialist_species
https://www.wikidata.org/wiki/Q7921649	vermivore	yes/no	vermivores, vermivorous, worm feeder, worm eater, eats worms, feeds on worms	animal that eats worms	WikiData	https://en.wikipedia.org/wiki/Vermivore
https://www.wikidata.org/wiki/Q122811	xylem feeder	yes/no	feeds on xylem, xylem sucker, xylem feeder	organism that feeds on xylem tissue that transports water from roots to shoots and leaves	WikiData	https://en.wikipedia.org/wiki/Xylem
http://www.wikidata.org/entity/Q45879481	xylophage	yes/no	xylophages, xylophagy, xylophagous, eats wood, wood eater, feeds on wood, wood feeder	organism that derives nutrition primarily from wood	WikiData	https://en.wikipedia.org/wiki/Xylophage
						
Feeds How? (YES/NO)						
http://eol.org/schema/terms/activeForaging	active forager	yes/no	forager behaviour, seeks food, searches for food, forages for food	An organism which obtains food primarily by active searching	Encyclopedia of Life	https://en.wikipedia.org/wiki/Foraging
http://eol.org/schema/terms/ambush	ambush predator	yes/no	stealth predator, concealed predator, stealth hunter, concealed hunter, ambush hunter, ambush feeder, stealth feeder	organisms that capture or trap prey by stealth or by strategy (typically not conscious strategy), rather than by speed or by strength	Encyclopedia of Life	https://en.wikipedia.org/wiki/Ambush_predator
https://eol.org/schema/terms/cell_sucker	cell-sucker	yes/no	sucking feeder	A consumer that feeds by piercing and sucking fluid from individual cells, of either a single celled or a multicelled organism	Encyclopedia of Life	
http://eol.org/schema/terms/ciliary_mucus_feeder	ciliary-mucus feeder	yes/no	mucus-net feeder, ciliary feeder	a consumer that feeds using rows of cilia carrying a mucus sheet across some structure while water is passed through or across it	Encyclopedia of Life	
http://eol.org/schema/terms/cruising	cruising feeder	yes/no	feeds while cruising, forages while cruising	An organism which obtains food by foraging while cruising	Encyclopedia of Life	
http://eol.org/schema/terms/depositFeeder	deposit feeder	yes/no	sediment feeder, benthic feeder, benthic detritivore	an organism that eats particulate organic material in or on sediments	Encyclopedia of Life	https://en.wikipedia.org/wiki/Detritivore
http://eol.org/schema/terms/excavating	excavator	yes/no	digs for food, burrows for food	An organism which obtains food by excavating	Encyclopedia of Life	
http://eol.org/schema/terms/feedingCurrent	feeding current	yes/no	feeds in currents, forages in currents	An organism which obtains food by utilizing a feeding current	Encyclopedia of Life	
http://www.wikidata.org/entity/Q1252491	filter feeder	yes/no	suspension feeder	a sub-group of suspension feeding animals that feed by straining suspended matter and food particles from water, typically by passing the water over a specialized filtering structure	WikiData	https://en.wikipedia.org/wiki/Filter_feeder
https://www.wikidata.org/wiki/Q5462729	fluid feeder	yes/no	eats fluids, feeds on fluids	organisms that feed on the fluid of other organisms	WikiData	https://en.wikipedia.org/wiki/Fluid_feeder
http://purl.obolibrary.org/obo/NCIT_C79641	gall former	yes/no	gall formation	The swelling of plant tissue due to parasitic fungi, insect parasites, or other biological, chemical or mechanical injuries		https://en.wikipedia.org/wiki/Gall
https://www.wikidata.org/wiki/Q184651	toxin	yes/no	is toxic, produces toxins, uses toxins, poison, poisonous	A toxin is a harmful substance produced within living cells or organisms	WikiData	https://en.wikipedia.org/wiki/Toxin
https://www.wikidata.org/entity/Q3386847	venom	yes/no	is venomous, produces venoms, uses venoms, envenom	mixture of toxins and other substances secreted by an animal for the purpose of causing harm to another	WikiData	https://en.wikipedia.org/wiki/Venom
http://eol.org/schema/terms/infauna_feeder	infauna feeder	yes/no	sediment feeder, benthic feeder, benthic carnivore	a carnivore that feeds primarily on infauna, animals that live in benthic sediment	Encyclopedia of Life	
https://www.wikidata.org/wiki/Q1544843	leaf miner	yes/no	leafminer, feeds inside leaves, leaf-mining	insects in which the larval stage lives in, and eats, the leaf tissue of plants	WikiData	https://en.wikipedia.org/wiki/Leaf_miner
https://www.wikidata.org/wiki/Q827742	mastication	yes/no	chew, chewing, masticate, masticating	chewing: mechanical procedure for crushing the food and its first enzymatic splitting	WikiData	https://en.wikipedia.org/wiki/Chewing
https://eol.org/schema/terms/mobile_prey_feeder	mobile prey feeder	yes/no	catches prey, catch prey, hunts for prey	preys on organisms that move habitually, of their own volition	Encyclopedia of Life	
http://www.wikidata.org/entity/Q309179	nocturnal	yes/no	feeds at night, forages at night, night feeder, night forager	animal behavior characterized by activity during the night and sleeping during the day	WikiData	https://en.wikipedia.org/wiki/Nocturnality
https://www.wikidata.org/entity/Q12806437	parasite	yes/no	parasites, parasitic, parasitism, ectoparasite, endoparasite, parasitizes, parasitize	organism adapted to living on or in another organism and causing harm to its host	WikiData	https://en.wikipedia.org/wiki/Parasitism
https://www.wikidata.org/entity/Q170430	predator	yes/no	predators, predation, predatory, hunts prey, kills prey, hunts for food	Organism that obtains food by hunting	WikiData	https://en.wikipedia.org/wiki/Predation
http://eol.org/schema/terms/predatorScavenger	predator-scavenger	yes/no	predator and scavenger, hunts and scavenges	An organism which obtains food primarily by predation+scavenging	Encyclopedia of Life	
https://www.wikidata.org/wiki/Q899348	proboscis feeder	yes/no	tube feeder, sucking mouthparts	using tubular mouthparts for feeding and sucking	WikiData	https://en.wikipedia.org/wiki/Proboscis
http://www.wikidata.org/entity/Q172867	scavenger	yes/no	scavenges for food, scavenging feeding	organism that feeds on dead animal and/or plant material	WikiData	https://en.wikipedia.org/wiki/Scavenger
https://eol.org/schema/terms/sessile_prey_feeder	sessile prey feeder	yes/no	harvests food	preys on organisms that do not possess a means of self-locomotion and are normally immobile	Encyclopedia of Life	
